"up_in","id","gene_short_name","q_value","estimate"
"control","ENSDARG00000096905","si:ch73-23l24.1",8.38429846007014e-35,-0.97027064772597
"control","ENSDARG00000071586","tgfbi",1.90871267097799e-24,-1.0303751572873
"control","ENSDARG00000100133","cnmd",4.44624335689484e-22,-0.591971082895049
"control","ENSDARG00000019949","serpinh1b",2.02491636213502e-21,-1.09936928901885
"control","ENSDARG00000019353","sparc",2.22718380348316e-17,-0.626301031742949
"control","ENSDARG00000059746","plod1a",1.49632536728518e-15,-0.954925065394181
"control","ENSDARG00000080337","NC_002333.4",4.96041488721488e-15,-0.527664531392756
"control","ENSDARG00000099930","col27a1b",3.81341490825475e-14,-0.719689589606217
"control","ENSDARG00000054451","loxl1",1.66200288468952e-13,-0.735676486761585
"control","ENSDARG00000024492","col9a2",4.47060270193391e-13,-0.237503799589013
"control","ENSDARG00000074745","zmp:0000000760",3.82800141909989e-12,-0.299280361018484
"control","ENSDARG00000011091","drd2b",1.62251701346369e-11,-1.1658605731713
"control","ENSDARG00000061345","wwp2",2.92337994296566e-10,-0.505143727082563
"control","ENSDARG00000037845","col9a3",6.32623319229043e-09,-0.272790545790799
"control","ENSDARG00000040118","zgc:113232",4.77396739727452e-07,-0.25114234527256
"control","ENSDARG00000026165","col11a1a",5.21697986887693e-07,-0.112882938288228
"control","ENSDARG00000055160","chadla",1.32914896101317e-06,-0.865897780297066
"control","ENSDARG00000054864","aplp2",1.47697636004878e-06,-0.40433519907906
"control","ENSDARG00000039563","loxl3b",3.42496014694786e-06,-0.363854523119199
"control","ENSDARG00000005485","ucmab",5.26647398576403e-06,-0.693265560604108
"control","ENSDARG00000031483","col9a1b",7.43458721473174e-06,-0.148188680051426
"control","ENSDARG00000037961","rcn3",1.13838131810777e-05,-0.933422269612999
"control","ENSDARG00000014545","golim4b",2.89176335908926e-05,-0.826698450012805
"control","ENSDARG00000097738","AL929222.2",0.000211882684548586,-0.458409799814203
"control","ENSDARG00000077403","col8a1a",0.000259947815155275,-0.383996602802968
"control","ENSDARG00000099970","CR383676.2",0.000336763416822896,-0.133828168305757
"control","ENSDARG00000056950","epyc",0.000427690314024745,-0.199414637981135
"control","ENSDARG00000058821","sema5a",0.000690733733963909,-0.975956383910576
"control","ENSDARG00000076317","plod3",0.000990981236769929,-0.975956383910596
"control","ENSDARG00000045071","chad",0.00110523817472645,-0.591375089673352
"control","ENSDARG00000040610","si:ch73-352p4.8",0.00221736496090163,-1.21225580046248
"control","ENSDARG00000100973","arhgap24",0.00264594396964948,-0.583062151589734
"control","ENSDARG00000031075","cadm1a",0.00313719597806116,-0.393153631591642
"control","ENSDARG00000027903","adamtsl3",0.00540590914282377,-1.01304792662557
"tbxta","ENSDARG00000021242","mvp",5.80853232692428e-71,1.87152950289131
"tbxta","ENSDARG00000006526","fn1b",1.62833058204555e-65,3.16971265133063
"tbxta","ENSDARG00000074235","CR376783.1",1.16353301051076e-60,1.48222850813033
"tbxta","ENSDARG00000093381","tgm2l",4.84377561951827e-55,1.08156235360496
"tbxta","ENSDARG00000039486","bag3",8.47311077984259e-54,1.74107299131654
"tbxta","ENSDARG00000016188","SBNO2",5.41912378559775e-53,1.69325398387499
"tbxta","ENSDARG00000005026","tshz1",3.05010747714337e-42,1.62380504175423
"tbxta","ENSDARG00000075261","timp2b",6.7958647598728e-38,2.05256571247018
"tbxta","ENSDARG00000078866","sdk1a",3.37094365567034e-37,2.34336791209349
"tbxta","ENSDARG00000021948","tnc",5.36315519758043e-37,2.27890415464135
"tbxta","ENSDARG00000117275","BX537310.2",6.59535435965854e-35,2.28034964330141
"tbxta","ENSDARG00000096147","BX465862.4",2.18811359214597e-33,2.95972390243143
"tbxta","ENSDARG00000027582","angptl7",1.49645451170584e-30,2.6953590068804
"tbxta","ENSDARG00000028533","macf1a",4.66326317358483e-30,0.686662385038194
"tbxta","ENSDARG00000081299","BX936308.1",6.40041097851554e-30,3.01764653610746
"tbxta","ENSDARG00000042329","si:dkey-91m11.5",1.83740487767147e-25,2.22750716095786
"tbxta","ENSDARG00000101081","ptprub",1.91608941584944e-25,1.38934021177104
"tbxta","ENSDARG00000020625","jak1",7.72640474626798e-25,1.08425226738615
"tbxta","ENSDARG00000002295","si:dkey-21p1.3",2.11799037973438e-24,2.5758138501726
"tbxta","ENSDARG00000104693","il6st",3.66656211952522e-24,1.29645357521581
"tbxta","ENSDARG00000020114","slc20a1a",1.90244241386374e-22,1.41709764349258
"tbxta","ENSDARG00000040623","fosl2",8.1505697597215e-22,0.742847851043246
"tbxta","ENSDARG00000040291","cadm4",3.47309758835274e-21,1.00321651301711
"tbxta","ENSDARG00000071685","slco5a1a",4.27666969732939e-21,1.30690049762253
"tbxta","ENSDARG00000016706","atic",7.1745819340613e-21,2.64727282021251
"tbxta","ENSDARG00000042518","hipk2",7.61716829887404e-21,0.974097989890433
"tbxta","ENSDARG00000074201","flna",1.33633762076274e-18,1.10662371845456
"tbxta","ENSDARG00000025428","socs3a",2.13086884045938e-18,2.08696713750635
"tbxta","ENSDARG00000037870","actb2",1.15346195988982e-17,1.00452770976089
"tbxta","ENSDARG00000022712","stat3",7.08129594068153e-17,0.720632560565083
"tbxta","ENSDARG00000041502","tgfb1a",2.07897620918578e-16,1.24608984659892
"tbxta","ENSDARG00000099979","tgfbr3",1.78839896335689e-15,0.440120108233598
"tbxta","ENSDARG00000058815","ihhb",8.709958767948e-14,1.37790334657856
"tbxta","ENSDARG00000070651","prkcdb",1.5200157626066e-13,2.0525656704065
"tbxta","ENSDARG00000028725","adra1aa",1.73514537154656e-13,1.79822006001074
"tbxta","ENSDARG00000102142","ece2b",8.05900353954684e-13,1.19210014170395
"tbxta","ENSDARG00000039987","hivep2a",5.6406270609912e-12,1.00274358796727
"tbxta","ENSDARG00000024167","kcnh1a",1.50732439379987e-11,1.55854720684436
"tbxta","ENSDARG00000041609","adarb1a",2.90433605149148e-11,2.64727281541345
"tbxta","ENSDARG00000015355","fosl1a",2.92770867070203e-11,0.76223533960791
"tbxta","ENSDARG00000101441","lima1a",5.43121863338803e-11,1.80836874956395
"tbxta","ENSDARG00000073909","ppip5k1b",5.90844343474217e-11,1.0406458723843
"tbxta","ENSDARG00000103935","rab27a",7.94446136663123e-11,1.87309719696227
"tbxta","ENSDARG00000013784","zgc:77158",8.44724101248366e-11,1.63626626180816
"tbxta","ENSDARG00000026531","alcama",1.54633817156451e-10,1.25405801624753
"tbxta","ENSDARG00000077588","pdgfc",3.39644421258712e-10,2.76341247012374
"tbxta","ENSDARG00000045486","pawr",9.25195806419121e-10,0.888732075730576
"tbxta","ENSDARG00000117356","CR352218.1",2.47674811435042e-09,4.18525175857312
"tbxta","ENSDARG00000079946","sqlea",3.3402836099478e-09,3.74588509955243
"tbxta","ENSDARG00000103735","elovl1b",3.87909002721104e-09,1.49661965334425
"tbxta","ENSDARG00000100020","pim1",5.53767632677399e-09,1.20292866972342
